site_name,item,quantity,rate,description,subtotal
Olive Lake,1002,1,21.600000,Satalarm Server - Complex,21.60
Olive Lake,1053,1,68.550000,25kb - Satellite IDP,68.55
Olive Lake,1253,10320,0.001584,>25Kb Overage Charge,16.35
